Tanggal_Beli,Jam_Beli,Keberangkatan,Jam,Estimasi,kd_tiket,Harga_Tiket,Pembelian,Metode,kode_asal,kode_tujuan,Kode_Trayek,Layanan,Segmentasi,Kantor_Cabang,Tahun,H_plus,lead_time,Asal,Tujuan,Trayek
2022-05-03,10:02:29,2022-05-03,19:00:00,19:00:00,2efec40c34774c1bd,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,14:58:45,2022-05-03,18:30:00,18:30:00,4e9305c45618a86712df,195000,Traveloka,Transfer,PWT,KMO,PBG-PRS,BNS,AKAP,Purwokerto,2022,1,0,Pool Damri Purwokerto,Pool DAMRI Kemayoran,Terminal Purbalingga - Terminal Poris
2022-05-02,16:11:50,2022-05-03,16:30:00,17:00:00,6548bec2bd7ebd54975a,135000,LOKET,Tunai,SWGN,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,1,Terminal Sawangan,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-03,10:29:13,2022-05-03,14:00:00,21:00:00,255d147c73f8daa3f620,345000,Traveloka,Transfer,SBY,PGB,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,0,Terminal Bungur Asih,Terminal Pulogebang,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
2022-04-30,12:28:20,2022-05-03,17:00:00,17:00:00,984095da428f7f1a5be1,135000,LOKET,Tunai,BJG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,3,Terminal Banjarnegara,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-02,04:23:09,2022-05-03,17:00:00,17:00:00,640d1d950f9d036e5c02,135000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,1,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,11:51:30,2022-05-03,17:00:00,17:00:00,55f433c725d4b442e143,210000,LOKET,Tunai,PCNG,KMO,BJG-KMO,BNS,AKAP,Jakarta,2022,1,0,Agen Damri Pucang,Pool DAMRI Kemayoran,Terminal Banjarnegara - Pool DAMRI Kemayoran
2022-05-03,16:26:36,2022-05-03,18:30:00,17:00:00,056daacd6deee31d4,195000,Agen Pemasaran,Deposit,BBS,KMO,BBS-KMO,BNS,AKAP,Purwokerto,2022,1,0,Terminal Bobotsari,Pool DAMRI Kemayoran,Terminal Bobotsari - Pool DAMRI Kemayoran
2022-04-29,10:54:59,2022-05-03,19:00:00,19:00:00,8d34de20d6582c6e4,170000,Admin,Tunai,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,4,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-03,02:01:38,2022-05-03,19:00:00,16:30:00,41d42511df127a3c4d9d,385000,Traveloka,Transfer,PDML,PGB,SBY-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,0,Pool DAMRI Malang,Terminal Pulogebang,Terminal Bungur Asih - Pool DAMRI Kemayoran
2022-05-03,10:02:29,2022-05-03,19:00:00,19:00:00,13b0323f750e6a831,170000,Agen Pemasaran,Deposit,CLP,KMO,CLP-KMO,EKS,AKAP,Cilacap,2022,1,0,Pool DAMRI Cilacap,Pool DAMRI Kemayoran,Pool DAMRI Cilacap - Pool DAMRI Kemayoran
2022-05-02,14:42:00,2022-05-03,14:00:00,17:00:00,89bf1506192f74754a4b,445000,Redbus,Transfer,TAJR,PGB,PDML-KMO,RYL,AKAP,Bandara Soekarno Hatta,2022,1,1,Terminal Arjosari/ Pool DAMRI Malang,Terminal Pulogebang,Pool DAMRI Malang - Pool DAMRI Kemayoran
2022-05-03,14:01:12,2022-05-03,16:30:00,16:30:00,6ca676f206ed7cdd42a3,210000,LOKET,Tunai,WSB,KMO,WSB-KMO,BNS,AKAP,Jakarta,2022,1,0,Terminal Wonosobo,Pool DAMRI Kemayoran,Terminal Wonosobo - Pool DAMRI Kemayoran
2022-05-03,05:50:58,2022-05-03,14:00:00,21:00:00,080f112c7d239a4a87c0,345000,Redbus,Transfer,SBY,KMO,BWI-KMO,EKS,AKAP,Bandara Soekarno Hatta,2022,1,0,Terminal Bungur Asih,Pool DAMRI Kemayoran,Terminal Brawijaya Banyuwangi - Pool DAMRI Kemayoran
